CLASS,ACCURACY
Air Conditioner,0.217
Car Horn,0.6526806526806527
Children Playing,0.621
Dog bark,0.696
Drilling,0.436
Engine Idling,0.419
Gun Shot,0.606951871657754
Jackhammer,0.379
Siren,0.55005382131324
Street Music,0.755
