CLASS,ACCURACY
Air Conditioner,0.77
Car Horn,0.7342657342657343
Children Playing,0.549
Dog bark,0.706
Drilling,0.742
Engine Idling,0.814
Gun Shot,0.9171122994652406
Jackhammer,0.869
Siren,0.7836383207750269
Street Music,0.626
